@id	label
mtV	mtV
PMv	PMv
GENv	GENv
jrb	jrb
TTd2	TTd2
SCop	SCop
FF	FF
PAS	PAS
VISrl6a	VISrl6a
VISal4	VISal4
ENTl3	ENTl3
psf	psf
snp	snp
rst	rst
LM	LM
ME	ME
PCG	PCG
BSTv	BSTv
VISrl2/3	VISrl2/3
chpl	chpl
int	int
CA1	CA1
SMT	SMT
fxprg	fxprg
VISC6a	VISC6a
FRP2/3	FRP2/3
RHP	RHP
db	db
mfbse	mfbse
ILA6b	ILA6b
SF	SF
SUBd-sp	SUBd-sp
IPDM	IPDM
OT2	OT2
AD	AD
ANcr2pu	ANcr2pu
ORBl5	ORBl5
PL5	PL5
CA	CA
ts	ts
mfbst	mfbst
STN	STN
AId2/3	AId2/3
PAR2	PAR2
SSp-bfd1	SSp-bfd1
ENTl6b	ENTl6b
VNC	VNC
mcp	mcp
Prosv-sr	Prosv-sr
MOBipl	MOBipl
VISa1	VISa1
PAR1	PAR1
VMHa	VMHa
MO5	MO5
SPIV	SPIV
RSP	RSP
ACA2/3	ACA2/3
MOs1	MOs1
VIS	VIS
SSp-un6a	SSp-un6a
SSp-bfd4	SSp-bfd4
rstl	rstl
SSp-m4	SSp-m4
AId	AId
BLAp	BLAp
SSp-bfd6a	SSp-bfd6a
VISpm1	VISpm1
PPT	PPT
RSPagl2/3	RSPagl2/3
AM	AM
TTd4	TTd4
aot	aot
UVU	UVU
NLOT1-3	NLOT1-3
ORBl6b	ORBl6b
MOs	MOs
tn	tn
VIn	VIn
ENTmv4	ENTmv4
TRN	TRN
ENTm3	ENTm3
VISl1	VISl1
CUL4pu	CUL4pu
CS	CS
RAmb	RAmb
ec	ec
FLmo	FLmo
SSs4	SSs4
NTSm	NTSm
PIR2	PIR2
COAa	COAa
SSp-tr2/3	SSp-tr2/3
PVi	PVi
MOBgr	MOBgr
SSp-n5	SSp-n5
IMD	IMD
INV	INV
VIS2/3	VIS2/3
CUL4, 5	CUL4, 5
IAM	IAM
VISmmp	VISmmp
LGv	LGv
ENTm5/6	ENTm5/6
ProSd-m	ProSd-m
SSp-un1	SSp-un1
RSPd2/3	RSPd2/3
VISam4	VISam4
POST1	POST1
AIp5	AIp5
VISam	VISam
VIS1	VIS1
MEAad	MEAad
BSTdm	BSTdm
VISl2/3	VISl2/3
VISpor	VISpor
SCm	SCm
ppf	ppf
IGL	IGL
BMAa	BMAa
VISmma5	VISmma5
SSp-n2/3	SSp-n2/3
SSp-tr4	SSp-tr4
DGlb-sg	DGlb-sg
CNlam	CNlam
PIR1-3	PIR1-3
VISlla6a	VISlla6a
VISal	VISal
cic	cic
SPA	SPA
AId5	AId5
PCN	PCN
RM	RM
FOTUmo	FOTUmo
VISa6a	VISa6a
grey	grey
CBXmo	CBXmo
MPT	MPT
tspd	tspd
ACVI	ACVI
BSTtr	BSTtr
LPO	LPO
IPR	IPR
CUL4gr	CUL4gr
FC	FC
VISpor2/3	VISpor2/3
IPN	IPN
CTX	CTX
SS2/3	SS2/3
AUDv5	AUDv5
SEZ	SEZ
CA2sr	CA2sr
dlf	dlf
PTLp2/3	PTLp2/3
MRNm	MRNm
AOBgl	AOBgl
COApl1-3	COApl1-3
PVHmpd	PVHmpd
mfb	mfb
SSp-m1	SSp-m1
COApl2	COApl2
HIP	HIP
PAL	PAL
CENT2mo	CENT2mo
XIn	XIn
GU6b	GU6b
AUDv6a	AUDv6a
or	or
ORB1	ORB1
PTLp1	PTLp1
LRN	LRN
DMX	DMX
BSTif	BSTif
PR	PR
AMd	AMd
CLI	CLI
VI	VI
RSPd6b	RSPd6b
BSTov	BSTov
MBsen	MBsen
SUB	SUB
IA	IA
aolt	aolt
pvbt	pvbt
SUBd	SUBd
BSTal	BSTal
ICc	ICc
CNU	CNU
im	im
DCO	DCO
df	df
pcf	pcf
PVHpv	PVHpv
VISl4	VISl4
MEA	MEA
MO1	MO1
TEa	TEa
NODgr	NODgr
DG	DG
VISal2/3	VISal2/3
AUDp5	AUDp5
DTN	DTN
SCO	SCO
ENTm2	ENTm2
SSp-n4	SSp-n4
SNc	SNc
MY	MY
AUDv1	AUDv1
ml	ml
